id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
1685,62394,111164,4855,,34    Vir,,83.2639,6.11,1.508,A3V,0.122,-79.73362,-16.667158,17.251953,,34,Vir,1,62199,,21.71700843,
1686,62423,111335,4863,,7    Dra,Tianyi,227.2727,5.43,-1.353,K5III,1.567,-87.644943,-18.458661,208.879282,,7,Dra,1,62228,,302.8307694,
1687,62434,111123,4853,,Bet Cru,Mimosa,85.3971,1.25,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,Bet,,Cru,1,62239,,2008.167804,Bet
1688,62443,111239,4858,,35    Vir,,178.8909,6.42,0.157,M4III,1.596,-174.66485,-37.012163,11.147636,,35,Vir,1,62248,,75.37025767,
1689,62452,,,Gl 486,,Gar,8.3703,11.39,11.776,M4,1.563,-8.06968,-1.713193,1.417736,,,Vir,1,62257,,0.00169668,
1690,62478,111308,4861,,28    Com,,125.7862,6.47,0.972,A1V,0.015,-119.584736,-25.548846,29.477372,,28,Com,1,62283,,35.57951306,
1691,62516,111421,4866,,11    CVn,,137.5516,6.25,0.558,A6m,0.195,-89.152962,-19.233501,102.967274,,11,CVn,1,62320,,52.09547473,
1692,62541,111397,4865,,29    Com,,122.399,5.71,0.271,A1V,0.024,-116.007463,-25.136576,29.865006,,29,Com,1,62346,,67.8578351,
1693,62576,111469,4869,,30    Com,,92.9368,5.76,0.919,A2V,0.051,-80.498265,-17.584891,42.988736,,30,Com,1,62381,,37.35940923,
1694,62757,111765,4878,,37    Vir,,183.4862,6.02,-0.298,K4III:,1.288,-178.598128,-40.916586,9.784533,,37,Vir,1,62560,,114.6040591,
1695,62763,111812,4883,,31    Com,,89.1266,4.93,0.18,G0III,0.681,-77.024837,-17.675955,41.210244,,31,Com,1,62566,,73.79042301,LS
1696,62807,111862,4884,,32    Com,,598.8024,6.32,-2.566,M0III,1.622,-557.625298,-129.261593,175.811749,,32,Com,1,62611,,925.5502448,
1697,62875,111998,4891,GJ 9421,38    Vir,,32.7332,6.11,3.535,F5V,0.493,-31.794425,-7.513825,-2.028588,,38,Vir,1,62678,,3.357376142,
1698,62886,112033,4894,,35    Com,,86.8056,4.89,0.197,G8III,0.904,-78.728443,-18.645343,31.454488,,35,Com,1,62689,,72.64404186,
1699,62931,111973,4890,,Kap Cru,,100000,5.89,-14.11,B5Ia,0.2,-48073.75398,-11500.52586,-86929.00596,Kap,,Cru,1,62734,,38370724.55,
1700,62933,112097,4900,,41    Vir,,60.9013,6.25,2.327,A7III,0.282,-57.843353,-13.8412,13.096758,,41,Vir,1,62736,,10.21409752,
1701,62956,112185,4905,,77Eps UMa,Alioth,25.31,1.76,-0.256,A0p,-0.022,-13.775959,-3.309169,20.972944,Eps,77,UMa,1,62757,,110.2554332,Eps
1702,62985,112142,4902,,40Psi Vir,,166.9449,4.77,-1.343,M3IIIvar,1.59,-160.028453,-38.680014,-27.665937,Psi,40,Vir,1,62785,,300.0544002,Psi
1703,63003,112092,4898,,Mu 1Cru,,127.0648,4.03,-1.49,B2IV-V,-0.18,-66.928408,-16.25159,-106.780004,Mu-1,,Cru,1,62803,,343.5579479,
1704,63005,112091,4899,,Mu 2Cru,,124.8439,5.08,-0.402,B5Vne,-0.089,-65.773626,-15.977575,-104.90276,Mu-2,,Cru,1,62805,,126.1246575,Mu-2
1705,63007,112078,4897,,Lam Cru,,117.6471,4.62,-0.733,B4Vn,-0.153,-58.626976,-14.251893,-100.998151,Lam,,Cru,1,62807,,171.0802988,Lam
1706,63031,111482,4870,,Iot Oct,,107.8749,5.45,0.285,K0III,0.991,-8.907925,-2.178938,-107.484871,Iot,,Oct,1,62831,,66.98846094,
1707,63076,112429,4916,,8    Dra,Taiyi,29.2912,5.23,2.896,A5n,0.303,-11.820552,-2.918495,26.640872,,8,Dra,1,62876,,6.047835919,IR
1708,63090,112300,4910,,43Del Vir,Minelauva,60.8273,3.39,-0.53,M3III,1.571,-58.94191,-14.587593,3.604756,Del,43,Vir,1,62890,,141.9057522,
1709,63121,112412,4914,,12Alp1CVn,Cor Caroli B,36.9004,5.61,2.775,F0V,0.337,-28.092342,-7.005189,22.877614,Alp-1,12,CVn,1,62921,,6.760829754,
1710,63125,112413,4915,,12Alp2CVn,Cor Caroli,35.1989,2.89,0.157,A0spe...,-0.115,-26.795114,-6.684223,21.824384,Alp-2,12,CVn,1,62925,,75.37025767,Alp-2
1711,63355,112769,4920,,36    Com,,99.4036,4.76,-0.227,M0III,1.568,-91.732311,-24.118592,29.741363,,36,Com,1,63153,,107.3494936,
1712,63414,112846,4921,,44    Vir,,77.9423,5.79,1.331,A3V,0.203,-75.149664,-20.016363,-5.181717,,44,Vir,1,63212,,25.56230427,
1713,63432,113092,4928,,9    Dra,,191.5709,5.37,-1.042,K2III,1.282,-73.504586,-19.667256,175.81121,,9,Dra,1,63230,,227.4049951,
1714,63462,112989,4924,,37    Com,,202.4291,4.88,-1.651,K1IIIp,1.165,-167.925753,-45.211219,103.606856,,37,Com,1,63259,,398.4740097,LU
1715,63494,112992,4925,,46    Vir,,100.3009,5.99,0.983,K2III,1.119,-96.647967,-26.167726,-5.893426,,46,Vir,1,63291,,35.22086356,
1716,63503,113139,4931,,78    UMa,,25.4453,4.93,2.902,F2V,0.368,-13.601724,-3.690939,21.18558,,78,UMa,1,63300,,6.01450652,
1717,63533,113095,4929,,38    Com,,124.6883,5.97,0.491,K0III,0.971,-114.943402,-31.423526,36.711515,,38,Com,1,63330,,55.4115119,
1718,63608,113226,4932,,47Eps Vir,Vindemiatrix,33.6022,2.85,0.218,G8IIIvar,0.934,-31.782664,-8.840495,6.38806,Eps,47,Vir,1,63405,,71.25248248,
